page_id,section_id,content_type,title,subtitle,description,image_url,image_alt,order_position,is_active
made_to_measure,main_section,main_content,MADE TO MEASURE,,"Made to Measure is our solution to ethical elegance crafted especially for you. Collaborate with our artisans to choose the finest fabrics and fits, creating your own design.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Made to measure consultation,2,true
made_to_measure,feature_1,feature,Precision,,A beautifully tailored custom garment created from a thoughtful assessment to perfectly reflect the client's measurements and personal preferences.,,,3,true
made_to_measure,feature_2,feature,Fit and Design,,"Made-to-measure provides a refined fit that surpasses off-the-rack options, ensuring a tailored silhouette that flatters your measurements and preferences.",,,4,true
made_to_measure,feature_3,feature,Exclusive,,"Made-to-measure reflects perfect balance between personalization and efficiency, delivering a unique garment alongside your needs in mind.",,,5,true
made_to_measure,process_step_1,process_step,First step - Book an appointment,,"Whether you are in Milano or overseas, schedule your appointment with our specialists. Bookings can be made through telephone, online, or in person at our atelier.",,,6,true
made_to_measure,process_step_2,process_step,Second step - Measurements,,"We take precise measurements for each individual client through an extensive process with attention to detail. Aesthetic aspects such as silhouette, design and style are thoroughly discussed.",,,7,true
made_to_measure,process_step_3,process_step,Third step - Fitting,,"The second meeting is scheduled 4 weeks after the first. During this meeting a primary fitting is conducted on the garment, alterations are made and the fit is refined.",,,8,true
made_to_measure,process_step_4,process_step,Fourth step - Collection,,"The piece is ready to be collected in store, perfectly tailored to your measurements and preferences.",,,9,true
made_to_measure,booking_1,booking_option,Appointment at your home,,"We offer a home fitting service for our existing clients. For new clients, we recommend visiting our atelier for the initial consultation.",,,10,true
made_to_measure,booking_2,booking_option,Virtual appointment,,Book a virtual appointment with our team to discuss your requirements and get expert advice on our made-to-measure services.,,,11,true
made_to_measure,booking_3,booking_option,Appointment in our Atelier,,Visit our atelier in Milano for a complete consultation experience. Our team will guide you through the entire process.,,,12,true
personalized_for_you,hero,hero_section,ELISA SANNA,PERSONALIZED FOR YOU,Transform your style dreams into reality with our personalized design service.,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Personalized for you hero,1,true
personalized_for_you,main_section,main_content,PERSONALISED FOR YOU,,"Made to Measure is not intended to replace custom tailoring for you. Collaborate with our artisans to choose the finest fabrics and styles every detail. Each design is tailored to your personal style, bringing Italian craftsmanship with modern sophistication.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Personalized garments display,2,true
personalized_for_you,feature_1,feature,Precision,,"A beautifully tailored custom garment is created from a thoughtful design process, perfectly crafted to the client's measurements and personal preferences.",,,3,true
personalized_for_you,feature_2,feature,Fit and Design,,"Made to measure starts with an existing base pattern that is modified to fit the client. Options like fabric, style and other design elements are available, but the structure of the garment remains largely pre-determined.",,,4,true
personalized_for_you,feature_3,feature,Exclusivity,,"Made to measure provides a personal fit and variation in fabrics, options, offering a unique garment designed with your needs in mind.",,,5,true
personalized_for_you,process_step_1,process_step,First step: Appointment,,Schedule them to Mauro's specialist by appointment only. Please note that fittings can be made without immediate attention of placing an order.,,,6,true
personalized_for_you,process_step_2,process_step,Second step: Measurement & Consultation,,"The unique silhouette designed for each individual client is created through an advanced measurement process with an extensive attention to detail. A specific silhouette such as sleeve, design and style are thoroughly discussed.",,,7,true
personalized_for_you,process_step_3,process_step,Third step: Fitting,,The garment is scheduled if needed for the first meeting. During the second meeting a thorough fitting is conducted on the garment ordered. Alterations are made and the fit is perfected.,,,8,true
personalized_for_you,process_step_4,process_step,Finishing: Collection,,The piece is ready to be collected in store.,,,9,true
personalized_for_you,booking_1,booking_option,Appointment at your convenience,,We would love to help you find the perfect fit. Please contact us to schedule an appointment at your convenience. We look forward to working with you.,,,10,true
personalized_for_you,booking_2,booking_option,Virtual Appointment,,Schedule a virtual appointment with our expert tailors. We'll guide you through the measurement process and fabric selection from the comfort of your home.,,,11,true
personalized_for_you,booking_3,booking_option,Appointment in our Atelier,,Visit our atelier for a complete bespoke experience. Our master tailors will provide personalized consultation and precise measurements in our luxury showroom.,,,12,true
hand_embroidery,hero,hero_section,HAND EMBROIDERY,The Art of Italian Needlework,"Discover the ancient art of hand embroidery, where every thread tells a story of tradition and mastery.",https://picsum.photos/1200/800?random=1,Hand embroidery hero,1,true
hand_embroidery,main_section,main_content,The Art of Hand Embroidery,Preserving Ancient Traditions,"Hand embroidery represents the pinnacle of Italian craftsmanship, where skilled artisans transform simple threads into works of art. Each piece tells a story of dedication, precision, and the timeless beauty of handmade creation.",https://picsum.photos/800/600?random=2,Hand embroidery craftsmanship,2,true
the_designer,hero,hero_section,THE DESIGNER,Elisa Sanna,Meet the visionary behind our timeless creations.,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,The designer Elisa Sanna,1,true
the_designer,about_section,about_content,About Elisa Sanna,,Elisa Sanna is a renowned Italian fashion designer whose passion for craftsmanship and attention to detail have made her a respected name in luxury fashion. Her designs blend traditional Italian techniques with contemporary aesthetics.,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Elisa Sanna portrait,2,true
our_atelier,hero,hero_section,OUR ATELIER,Where Craftsmanship Lives,Step into our world of Italian artistry and traditional craftsmanship.,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Our atelier workspace,1,true
our_atelier,main_section,main_content,The Heart of Creation,,"Our atelier is where passion meets precision, where traditional Italian craftsmanship techniques are honored and preserved. Here, master artisans dedicate their expertise to creating pieces of exceptional quality and beauty.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Atelier craftsmanship,2,true
craftsmanship_values,hero,hero_section,ELISA SANNA,CRAFTSMANSHIP & VALUES,The heart of our brand lies in the timeless tradition of Italian craftsmanship and unwavering commitment to excellence,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Craftsmanship and values,1,true
craftsmanship_values,main_section,main_content,Craftsmanship and Values,,"At Elisa Sanna, we believe that true luxury is born from the marriage of traditional techniques and passionate artistry. Every piece we create is a testament to the values that define us: authenticity, quality, sustainability, and respect for the artisans who pour their soul into every stitch.",https://images.unsplash.com/photo-1434389677669-e08b4cac3105?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Master Craftsman at work,2,true
craftsmanship_values,text_1,text_content,,,Our craftsmen are the guardians of centuries-old techniques,passed down through generations of Italian artisans. Each garment is meticulously constructed by hand,with every detail receiving the attention it deserves.,,
craftsmanship_values,text_2,text_content,,,We source only the finest materials from trusted Italian suppliers who share our commitment to excellence. Premium fabrics,hand-selected threads,and traditional tools come together in our atelier to create pieces that transcend fashion trends.,,
craftsmanship_values,text_3,text_content,,,Our values of sustainability and ethical production are woven into every aspect of our process. We believe that true luxury means creating responsibly,honoring both our artisans and our planet with every creation that bears the Elisa Sanna name.,,,5
our_atelier,hero,hero_section,ELISA SANNA,OUR ATELIER,Faithful to the Italian origins of the brand,our Atelier and team pays tribute to craftsmanship,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Our atelier workspace,1
our_atelier,main_section,main_content,Our Atelier,,"In fashion, we embrace slowness?choosing quality over quantity, and timeless design over fleeting trends. Sustainability means crafting pieces with care, sourcing responsibly, and honoring the planet with every stitch.",https://images.unsplash.com/photo-1558769132-cb1aea458c5e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Atelier Workshop,2,true
our_atelier,section_title,section_header,Atelier,,,,,3,true
our_atelier,text_1,text_content,,,We believe in building garments through deep research?with those who share our values,our heritage,and our future. Understanding how our manufacturers work is not just important and essential to us.,,
our_atelier,text_2,text_content,,,We are proud to partner with master artisans who embody the spirit of Italian excellence. Their expertise,rooted in generations of craftsmanship,brings our vision to life with every stitch and detail.,,
our_atelier,text_3,text_content,,,Elisa Sanna is more than a brand. It's a family bound by respect,creativity,and a commitment to timeless Italian craftsmanship.,,
hand_embroidery,hero,hero_section,ELISA SANNA,HAND EMBROIDERY,"Discover the ancient art of hand embroidery, where every thread tells a story of tradition and mastery.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Hand embroidery hero,1,true
hand_embroidery,main_section,main_content,HAND EMBROIDERY,,"Hand embroidery is the art of decorating fabric using a needle and thread. Unlike machine embroidery, it's entirely done by hand allowing for a personal touch, intricate details, and endless creative possibilities.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Hand embroidery craftsmanship,2,true
hand_embroidery,process_step_1,process_step,prova booo,,"salta la quaglia Conceptualization: Begin with a theme or inspiration. Sketching: Create a design on paper or digitally. Customization: Tailor the design to suit the fabric, purpose, and personal style.",,,3,true
hand_embroidery,process_step_2,process_step,ignorata,ignorata,,,,4,true
hand_embroidery,process_step_3,process_step,ignorata,ignorata,,,,5,true
hand_embroidery,process_step_4,process_step,ignorata,ignorata,,,,6,true
hand_embroidery,process_step_5,process_step,ignorata,ignorata,,,,7,true
hand_embroidery,process_step_6,process_step,ignorata,ignorata,,,,8,true
the_designer,hero,hero_section,THE DESIGNER,Elisa Sanna,Get to know her,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,The designer Elisa Sanna,1,true
the_designer,intro_section,main_content,,,Hand embroidery is the art of decorating fabric using a needle and thread. Unlike machine embroidery,it's entirely done by hand,allowing for a personal touch,intricate detail,and endless creative possibilities.
the_designer,philosophy_1,text_content,,,We believe in building garments through deep research?with those who share our values,heritage,and our future. Understanding how our manufacturers work is not just practical and essential to us.,,
the_designer,philosophy_2,text_content,,,We are proud to partner with master artisans who embody the spirit of Italian excellence. Their expertise,rooted in generations of craftsmanship,brings our vision to life with every stitch and detail.,,
the_designer,philosophy_3,text_content,,,Elisa Sanna is more than a brand. It's a family bound by respect,creativity,and a commitment to timeless Italian craftsmanship.,,
